session_id,client_id,login_time,logout_time,device_type,app_version,ip_address
session_1,730,2026-04-01 00:07:06,2026-04-01 02:52:06,android,2.0.1,44.248.95.184
session_2,80,2025-08-25 18:35:17,2025-08-25 19:33:17,ios,1.4.4,180.13.99.92
session_3,904,2025-04-27 04:50:39,2025-04-27 06:46:39,web,1.1.0,217.126.177.31
session_4,739,2025-12-18 16:40:47,2025-12-18 18:25:47,web,5.4.5,130.164.152.188
session_5,834,2025-08-25 09:37:48,2025-08-25 11:34:48,web,4.3.4,138.248.228.91
session_6,246,2025-08-27 15:24:25,2025-08-27 16:42:25,web,2.9.9,200.145.0.214
session_7,833,2025-05-31 09:13:46,2025-05-31 09:50:46,web,5.4.5,223.156.163.40
session_8,854,2025-06-21 12:27:51,2025-06-21 12:42:51,android,1.9.1,201.18.109.232
session_9,1991,2025-05-02 02:42:18,2025-05-02 04:30:18,ios,4.6.9,8.10.100.117
session_10,121,2025-05-29 10:39:12,2025-05-29 10:44:12,web,5.2.2,85.13.230.152
session_11,275,2026-01-06 03:33:02,2026-01-06 04:38:02,web,1.6.8,191.122.25.245
session_12,1689,2025-06-17 03:05:19,2025-06-17 04:52:19,web,2.2.1,183.44.188.186
session_13,729,2025-12-24 23:29:43,2025-12-25 01:37:43,web,4.2.6,216.60.223.190
session_14,1165,2026-03-13 18:05:12,2026-03-13 20:44:12,android,2.0.8,217.165.166.255
session_15,555,2025-07-07 09:13:51,2025-07-07 11:55:51,android,5.1.0,13.57.23.164
session_16,1165,2025-04-27 12:51:25,2025-04-27 14:20:25,ios,2.5.7,29.3.58.165
session_17,1129,2025-06-12 12:16:27,2025-06-12 12:50:27,web,4.0.3,205.91.219.247
session_18,63,2025-06-23 12:55:45,2025-06-23 13:33:45,ios,4.4.8,223.146.128.16
session_19,1011,2025-09-02 02:29:34,2025-09-02 05:07:34,web,2.4.3,194.239.145.141
session_20,1924,2025-11-25 08:09:17,2025-11-25 10:08:17,ios,2.9.5,148.118.174.194
session_21,686,2025-05-27 12:52:41,2025-05-27 14:08:41,ios,1.5.8,214.1.206.138
session_22,48,2026-04-01 18:06:33,2026-04-01 20:51:33,web,2.8.6,136.58.98.64
session_23,90,2025-04-29 09:43:08,2025-04-29 11:21:08,android,5.0.2,210.183.217.139
session_24,537,2026-02-24 12:35:30,2026-02-24 13:22:30,ios,4.5.4,153.197.96.172
session_25,540,2026-04-02 11:07:05,2026-04-02 13:10:05,android,4.9.5,103.212.170.206
session_26,48,2025-05-09 09:28:11,2025-05-09 11:57:11,android,1.8.9,210.51.35.233
session_27,893,2025-11-05 08:41:02,2025-11-05 10:06:02,android,3.3.0,135.166.141.180
session_28,675,2025-05-29 15:10:22,2025-05-29 16:50:22,web,3.6.2,87.156.194.52
session_29,1145,2025-07-17 20:56:03,2025-07-17 23:08:03,android,5.8.8,151.6.143.68
session_30,712,2025-10-12 04:21:37,2025-10-12 05:59:37,android,5.9.3,87.194.35.14
session_31,798,2025-05-21 23:33:38,2025-05-22 00:26:38,web,1.6.2,145.42.155.105
session_32,1728,2026-04-01 22:26:38,2026-04-01 23:02:38,web,1.1.1,193.29.49.221
session_33,1139,2026-02-27 15:48:16,2026-02-27 16:38:16,android,1.4.7,23.32.180.100
session_34,568,2026-03-11 19:56:49,2026-03-11 22:27:49,web,4.1.9,31.208.75.155
session_35,439,2025-12-18 05:07:12,2025-12-18 05:11:12,web,1.3.5,195.196.108.181
session_36,1755,2025-06-09 07:21:01,2025-06-09 08:27:01,web,5.5.3,195.137.159.88
session_37,1948,2025-11-26 17:52:50,2025-11-26 18:36:50,web,5.4.4,215.129.206.41
session_38,1457,2025-05-21 17:29:33,2025-05-21 20:00:33,ios,3.7.9,40.132.189.206
session_39,1961,2026-02-01 03:19:12,2026-02-01 03:32:12,android,2.4.7,179.85.219.193
session_40,491,2025-06-11 23:35:38,2025-06-12 01:59:38,web,3.1.6,187.139.106.254
session_41,1310,2025-10-24 09:21:08,2025-10-24 10:17:08,ios,5.5.3,139.96.12.34
session_42,1496,2025-06-11 04:28:30,2025-06-11 07:17:30,android,4.0.8,72.162.158.126
session_43,1555,2025-07-31 13:51:36,2025-07-31 16:02:36,web,4.8.6,170.92.67.155
session_44,779,2026-03-13 09:16:44,2026-03-13 10:41:44,web,2.9.2,171.37.4.191
session_45,1924,2025-09-12 23:05:44,2025-09-13 01:55:44,web,5.2.2,115.76.3.97
session_46,1469,2025-11-13 07:32:59,2025-11-13 08:15:59,web,1.1.8,69.30.252.36
session_47,503,2025-07-17 00:12:25,2025-07-17 00:52:25,android,2.0.6,107.85.24.41
session_48,1054,2026-04-07 01:44:39,2026-04-07 03:55:39,android,4.8.4,177.52.32.181
session_49,994,2026-01-12 21:18:24,2026-01-12 23:07:24,android,4.8.0,216.169.141.121
session_50,571,2025-12-16 10:22:03,2025-12-16 12:05:03,android,5.3.7,158.246.139.33
session_51,1177,2025-08-05 14:35:37,2025-08-05 15:47:37,android,5.7.5,117.154.116.188
session_52,474,2025-06-19 03:13:13,2025-06-19 03:34:13,android,2.1.7,136.144.42.222
session_53,1401,2025-08-26 09:57:43,2025-08-26 11:26:43,web,3.9.2,196.215.11.201
session_54,1434,2026-04-16 23:18:34,2026-04-17 01:27:34,web,4.4.8,203.50.158.196
session_55,1978,2026-01-23 09:14:13,2026-01-23 11:12:13,android,1.1.4,222.36.1.57
session_56,1401,2025-11-13 17:06:53,2025-11-13 18:45:53,ios,4.7.5,111.136.90.142
session_57,1719,2026-02-12 14:36:54,2026-02-12 15:07:54,web,1.9.9,67.27.16.225
session_58,527,2025-10-31 16:27:57,2025-10-31 18:16:57,android,2.4.9,215.196.221.47
session_59,1613,2025-09-27 23:47:54,2025-09-28 01:19:54,android,1.5.6,211.153.243.85
session_60,1253,2025-08-21 20:56:26,2025-08-21 21:25:26,android,4.8.9,213.0.133.228
session_61,1916,2025-10-05 22:57:14,2025-10-05 23:58:14,web,1.0.9,140.100.133.215
session_62,1509,2025-07-12 10:19:35,2025-07-12 11:49:35,web,2.0.1,116.159.200.179
session_63,1715,2025-09-24 00:12:00,2025-09-24 01:02:00,ios,1.5.9,192.253.41.186
session_64,1310,2025-10-24 20:14:15,2025-10-24 23:01:15,ios,2.4.2,133.127.125.175
session_65,576,2025-06-11 05:56:56,2025-06-11 08:11:56,web,2.4.9,206.226.37.173
session_66,782,2025-06-27 05:24:15,2025-06-27 07:27:15,android,5.0.9,221.184.200.103
session_67,1570,2025-12-23 06:34:34,2025-12-23 08:48:34,android,4.0.1,195.124.22.33
session_68,1791,2026-03-01 15:20:24,2026-03-01 18:03:24,web,1.4.0,101.31.38.55
session_69,403,2026-02-25 10:23:33,2026-02-25 11:16:33,android,5.0.1,89.174.16.144
session_70,1783,2026-03-14 20:37:29,2026-03-14 22:03:29,ios,4.3.5,169.35.138.240
session_71,818,2026-02-25 19:01:45,2026-02-25 21:16:45,android,4.1.5,39.125.37.43
session_72,559,2025-08-27 22:29:16,2025-08-27 23:36:16,android,1.5.3,154.32.16.77
session_73,1828,2025-12-06 16:57:57,2025-12-06 17:37:57,android,1.9.6,37.168.27.86
session_74,1908,2025-10-28 09:34:31,2025-10-28 10:43:31,web,4.2.7,200.27.193.182
session_75,1289,2025-06-15 01:06:29,2025-06-15 01:19:29,android,2.6.4,208.64.11.36
session_76,129,2025-12-21 13:45:51,2025-12-21 16:12:51,ios,5.2.8,194.63.17.34
session_77,838,2026-03-08 01:34:18,2026-03-08 03:04:18,android,2.8.5,86.244.165.51
session_78,350,2026-02-03 18:34:13,2026-02-03 18:45:13,ios,3.5.3,101.168.246.191
session_79,1764,2025-11-25 13:34:36,2025-11-25 14:37:36,ios,4.7.5,206.226.154.69
session_80,1125,2026-03-28 22:28:00,2026-03-28 23:50:00,ios,1.2.6,43.150.85.11
session_81,533,2025-07-03 01:12:52,2025-07-03 02:59:52,ios,5.5.6,26.98.117.76
session_82,1049,2025-10-25 17:36:19,2025-10-25 20:21:19,android,3.6.0,154.186.168.185
session_83,1249,2025-10-13 08:26:54,2025-10-13 10:50:54,ios,4.5.1,195.44.224.118
session_84,1428,2026-01-06 23:35:22,2026-01-07 02:00:22,web,1.9.8,75.26.24.150
session_85,990,2025-05-18 07:59:41,2025-05-18 09:56:41,android,3.1.2,31.188.231.224
session_86,1410,2025-12-01 14:04:57,2025-12-01 16:58:57,android,3.1.4,58.136.129.20
session_87,695,2025-12-13 19:01:09,2025-12-13 19:44:09,ios,1.6.4,167.33.196.212
session_88,365,2025-12-19 23:11:31,2025-12-20 01:30:31,web,2.8.5,65.105.124.245
session_89,975,2026-01-05 16:27:25,2026-01-05 18:54:25,android,4.7.6,37.119.98.137
session_90,1598,2025-09-06 08:07:53,2025-09-06 09:45:53,android,5.0.7,208.35.122.84
session_91,668,2025-04-30 11:52:37,2025-04-30 13:25:37,android,5.4.3,77.130.160.20
session_92,456,2025-12-27 05:48:37,2025-12-27 07:07:37,android,5.7.7,219.90.154.251
session_93,1761,2025-06-01 18:29:10,2025-06-01 19:56:10,android,5.2.2,214.92.182.99
session_94,1700,2026-01-30 03:17:26,2026-01-30 03:18:26,web,3.9.0,216.77.94.239
session_95,1939,2025-10-29 07:12:36,2025-10-29 08:56:36,web,2.4.1,155.128.82.242
session_96,738,2025-09-04 12:02:16,2025-09-04 12:56:16,web,4.7.1,192.121.139.10
session_97,98,2025-05-13 00:06:24,2025-05-13 02:56:24,ios,1.5.4,28.124.127.216
session_98,1759,2025-10-19 18:32:37,2025-10-19 20:29:37,ios,3.9.4,179.49.239.231
session_99,147,2025-07-25 13:48:13,2025-07-25 16:38:13,web,3.8.7,89.79.2.230
session_100,722,2025-06-14 01:25:23,2025-06-14 02:10:23,android,4.8.5,13.82.133.48
session_101,213,2025-09-26 01:29:26,2025-09-26 02:35:26,ios,3.4.7,152.126.255.63
session_102,806,2025-08-21 05:28:10,2025-08-21 05:53:10,web,3.5.7,78.133.35.72
session_103,1363,2025-07-15 07:46:55,2025-07-15 10:25:55,android,2.3.2,200.146.139.42
session_104,1980,2025-11-17 12:51:40,2025-11-17 14:25:40,android,3.8.0,184.103.93.237
session_105,1536,2026-03-13 02:32:14,2026-03-13 05:25:14,web,3.7.9,35.41.214.69
session_106,742,2025-08-18 06:33:03,2025-08-18 08:38:03,web,1.6.6,197.133.5.199
session_107,1613,2025-05-10 10:11:59,2025-05-10 10:51:59,web,3.1.3,222.173.19.115
session_108,489,2025-09-29 15:44:30,2025-09-29 16:27:30,ios,3.7.0,210.137.239.254
session_109,953,2025-08-17 22:49:31,2025-08-17 22:54:31,ios,3.6.9,96.195.239.72
session_110,1468,2025-10-12 21:03:07,2025-10-12 23:46:07,ios,3.7.9,190.182.24.121
session_111,503,2025-10-30 04:18:06,2025-10-30 07:16:06,android,1.8.5,35.211.29.119
session_112,1172,2026-01-25 08:50:12,2026-01-25 10:12:12,android,1.8.3,193.211.17.30
session_113,764,2025-11-03 03:07:47,2025-11-03 04:20:47,web,4.0.1,149.217.132.216
session_114,392,2025-10-19 10:29:21,2025-10-19 10:36:21,web,4.1.0,202.185.96.11
session_115,713,2025-05-23 10:38:43,2025-05-23 12:36:43,web,1.0.1,201.117.252.214
session_116,1926,2025-10-10 10:42:54,2025-10-10 10:52:54,android,4.9.4,199.79.77.53
session_117,1002,2025-12-02 09:04:22,2025-12-02 09:13:22,web,4.9.2,42.235.231.205
session_118,643,2025-11-14 15:50:43,2025-11-14 17:11:43,web,1.6.2,219.232.14.238
session_119,1185,2025-06-04 20:59:23,2025-06-04 22:33:23,ios,5.9.6,108.102.224.43
session_120,1387,2025-10-13 02:28:12,2025-10-13 04:11:12,ios,3.3.6,204.18.103.239
session_121,754,2025-10-29 06:33:32,2025-10-29 07:35:32,web,3.8.9,213.115.214.228
session_122,1002,2025-09-28 11:32:35,2025-09-28 11:44:35,ios,4.2.2,203.131.186.26
