transaction_id,client_id,account_id,card_id,transaction_time,amount,currency,transaction_type,merchant_name,merchant_category,city,status
1,477,341,752,2026-02-20 19:38:25,140878.94,KZT,purchase,Sulpak,restaurant,Алматы,success
2,333,2092,2023,2025-06-19 06:18:44,450620.34,EUR,cash_withdrawal,Burger King,marketplace,Шымкент,success
3,1039,108,1673,2026-04-21 19:43:48,88928.38,USD,cash_withdrawal,Zara,clothing,Астана,success
4,621,2584,710,2026-01-26 01:45:33,70267.5,KZT,purchase,Ramstore,electronics,Астана,declined
5,1735,1157,2457,2025-09-18 23:11:05,268101.06,USD,purchase,Ramstore,transport,Тараз,success
6,1215,1754,2242,2025-09-09 00:12:44,132494.75,EUR,purchase,Technodom,transport,Павлодар,declined
7,1269,578,2296,2026-04-05 18:22:02,27020.21,KZT,purchase,Coffee Boom,travel,Караганда,success
8,1169,2239,1096,2025-07-14 11:49:35,231138.12,KZT,purchase,Small,clothing,Шымкент,success
9,644,2372,1241,2026-03-04 14:18:45,147816.73,KZT,cash_withdrawal,Zara,marketplace,Шымкент,success
10,1477,1346,368,2026-04-09 18:52:59,26564.12,USD,transfer,Magnum,food_delivery,Усть-Каменогорск,success
11,1932,1469,1439,2026-03-16 15:31:10,244712.39,EUR,transfer,H&M,food_delivery,Тараз,success
12,1469,167,899,2025-07-15 17:02:17,400439.2,USD,deposit,Coffee Boom,food_delivery,Караганда,success
13,344,2965,2409,2025-08-19 18:59:59,195352.62,KZT,transfer,Yandex Go,transport,Тараз,success
14,1525,2575,2418,2025-09-21 14:25:14,350648.99,EUR,transfer,Sulpak,transport,Усть-Каменогорск,success
15,1415,731,1748,2025-12-06 19:33:55,424676.82,USD,purchase,Burger King,restaurant,Усть-Каменогорск,success
16,1007,107,2237,2025-10-28 16:18:42,121036.37,EUR,transfer,Zara,electronics,Павлодар,declined
17,204,984,1464,2025-05-16 08:59:26,224249.54,KZT,deposit,Ramstore,marketplace,Тараз,success
18,1756,2407,841,2026-03-16 09:44:48,164300.39,USD,deposit,Air Astana,marketplace,Шымкент,success
19,660,2040,2129,2025-11-29 14:48:33,230241.73,USD,transfer,Yandex Go,clothing,Павлодар,declined
20,1634,176,253,2025-05-19 02:54:31,23928.7,KZT,cash_withdrawal,KFC,restaurant,Усть-Каменогорск,declined
21,802,1241,2341,2025-12-15 11:33:58,424064.22,KZT,cash_withdrawal,KFC,travel,Караганда,success
22,1410,429,1912,2025-10-19 20:40:09,168908.74,USD,purchase,Ramstore,marketplace,Тараз,success
23,1511,556,164,2026-03-01 01:09:47,272451.26,KZT,cash_withdrawal,Green Bazaar,transport,Алматы,success
24,679,688,1623,2026-02-28 04:34:52,63922.01,EUR,cash_withdrawal,Coffee Boom,transport,Актобе,success
25,1157,2087,1977,2025-11-28 21:39:12,415728.69,EUR,deposit,Magnum,restaurant,Павлодар,success
26,231,1588,586,2026-01-05 07:09:46,45619.89,EUR,cash_withdrawal,Zara,marketplace,Караганда,success
27,1989,2475,2466,2025-12-25 14:48:58,460148.8,KZT,cash_withdrawal,Burger King,travel,Тараз,success
28,910,1210,2460,2025-09-04 04:48:35,330288.82,KZT,cash_withdrawal,Green Bazaar,travel,Караганда,success
29,1798,920,2167,2025-04-25 07:19:49,25154.74,KZT,purchase,Sulpak,electronics,Алматы,declined
30,800,2846,1118,2026-04-09 04:59:45,55387.03,USD,purchase,Magnum,electronics,Алматы,success
31,499,1152,302,2025-06-16 02:49:36,263444.47,USD,transfer,H&M,transport,Актобе,declined
32,329,822,1044,2025-09-18 15:24:10,475118.04,KZT,transfer,KFC,travel,Актобе,success
33,1986,218,2042,2025-09-19 23:56:07,121568.99,EUR,deposit,Sulpak,electronics,Павлодар,success
34,94,1001,1046,2025-08-31 09:28:21,359440.09,USD,cash_withdrawal,Glovo,food_delivery,Алматы,declined
35,1873,2780,144,2025-12-24 15:17:22,247368.7,KZT,cash_withdrawal,Small,supermarket,Усть-Каменогорск,success
36,1950,2422,691,2025-12-08 22:03:55,461132.92,EUR,deposit,H&M,supermarket,Астана,success
37,1413,2400,2011,2026-01-24 17:13:52,213480.36,KZT,cash_withdrawal,Zara,food_delivery,Караганда,success
38,501,1812,1131,2025-08-25 14:59:35,336384.46,EUR,transfer,Yandex Go,clothing,Астана,success
39,1282,2371,552,2025-07-14 01:50:13,489145.95,KZT,cash_withdrawal,Sulpak,restaurant,Шымкент,success
40,1678,1474,2270,2025-12-23 21:33:19,337152.35,KZT,deposit,Green Bazaar,transport,Караганда,success
41,1893,1066,2461,2025-05-13 11:05:04,474069.33,EUR,purchase,Kaspi Store,restaurant,Актобе,success
42,1346,2669,404,2026-03-05 06:11:43,361970.58,KZT,transfer,Small,transport,Павлодар,declined
43,1048,1974,1994,2025-12-24 06:42:49,462822.17,EUR,cash_withdrawal,Technodom,travel,Алматы,success
44,1267,339,1653,2026-03-10 16:41:27,465710.74,KZT,cash_withdrawal,Small,restaurant,Караганда,success
45,983,1257,2386,2025-05-24 04:33:34,296065.4,EUR,purchase,Yandex Go,transport,Астана,success
46,1409,313,1982,2026-03-09 09:03:02,2316.87,KZT,purchase,Green Bazaar,marketplace,Астана,declined
47,1164,2727,1835,2025-04-26 13:37:00,389869.2,USD,cash_withdrawal,Sulpak,transport,Усть-Каменогорск,success
48,220,2707,355,2026-03-07 16:10:37,450517.22,USD,transfer,Zara,electronics,Актобе,success
49,167,1071,1500,2025-04-26 23:11:27,176849.92,EUR,cash_withdrawal,Air Astana,restaurant,Алматы,success
50,841,1589,1146,2025-08-05 11:20:50,211054.18,KZT,cash_withdrawal,H&M,marketplace,Шымкент,success
51,145,870,678,2026-04-21 19:30:21,470119.14,EUR,transfer,Glovo,transport,Шымкент,success
52,744,449,2318,2025-04-27 15:36:50,145175.32,EUR,cash_withdrawal,Zara,transport,Караганда,success
53,1735,1157,2457,2025-11-30 18:25:34,45485.08,EUR,deposit,Ramstore,supermarket,Усть-Каменогорск,declined
54,1282,2371,552,2025-06-22 16:24:50,138011.15,KZT,cash_withdrawal,Glovo,travel,Караганда,success
55,60,2923,751,2025-10-20 09:59:00,259743.68,EUR,cash_withdrawal,Coffee Boom,clothing,Алматы,success
56,541,2852,34,2025-10-09 20:33:53,305923.06,EUR,deposit,Coffee Boom,marketplace,Шымкент,success
57,1957,1646,2001,2025-06-27 04:08:37,136700.24,EUR,transfer,Glovo,marketplace,Усть-Каменогорск,declined
58,1786,495,1085,2025-04-30 19:20:50,380169.17,KZT,deposit,H&M,travel,Актобе,declined
59,1353,46,102,2025-06-06 09:02:36,413743.64,USD,cash_withdrawal,Small,restaurant,Караганда,declined
60,1095,1299,40,2025-05-24 00:52:41,385084.27,EUR,cash_withdrawal,Kaspi Store,marketplace,Тараз,success
61,1613,464,181,2026-02-12 11:49:08,174254.07,KZT,deposit,Burger King,marketplace,Усть-Каменогорск,declined
62,660,2530,341,2025-12-31 04:55:29,76765.14,USD,deposit,KFC,travel,Шымкент,declined
63,1459,1950,205,2026-04-03 12:52:23,292534.07,KZT,deposit,Sulpak,restaurant,Караганда,declined
64,1986,1785,650,2025-09-15 07:27:56,94591.88,EUR,deposit,Sulpak,supermarket,Усть-Каменогорск,success
65,74,1801,492,2025-12-23 11:03:12,313160.21,EUR,purchase,Air Astana,travel,Усть-Каменогорск,success
66,165,326,1004,2025-07-28 18:56:39,331242.78,KZT,transfer,Kaspi Store,travel,Актобе,success
67,1339,111,2188,2025-09-26 03:47:24,128031.29,EUR,purchase,Ramstore,food_delivery,Алматы,success
68,1619,1490,2249,2026-02-24 09:36:26,8040.05,KZT,deposit,Glovo,electronics,Актобе,declined
69,1653,2619,168,2025-06-05 19:57:56,18658.44,EUR,cash_withdrawal,Zara,food_delivery,Шымкент,success
70,181,410,1216,2025-05-17 16:45:35,384859.09,EUR,purchase,Glovo,clothing,Усть-Каменогорск,success
71,1664,1548,46,2026-04-12 10:47:31,441106.65,KZT,purchase,Glovo,supermarket,Тараз,success
72,599,925,2363,2025-09-19 21:51:38,379278.43,KZT,cash_withdrawal,Yandex Go,travel,Астана,success
73,99,1547,1821,2026-04-15 07:19:40,357325.98,USD,cash_withdrawal,Sulpak,restaurant,Павлодар,success
74,594,388,432,2025-08-11 07:53:49,93300.66,KZT,transfer,Air Astana,restaurant,Актобе,success
75,1254,2638,768,2025-12-02 03:30:20,465039.5,KZT,cash_withdrawal,Sulpak,transport,Астана,success
76,679,462,724,2025-08-22 07:00:01,15480.47,USD,cash_withdrawal,Technodom,travel,Алматы,declined
77,448,2576,1684,2025-09-13 10:31:13,345785.73,EUR,transfer,Kaspi Store,electronics,Караганда,success
78,1914,2034,1680,2026-04-16 09:44:32,119847.7,USD,cash_withdrawal,Magnum,electronics,Актобе,success
79,773,970,659,2025-11-06 11:31:09,179388.48,KZT,purchase,Small,clothing,Караганда,success
80,1938,2084,24,2025-09-20 21:08:33,443586.26,KZT,purchase,Coffee Boom,supermarket,Актобе,declined
81,1452,474,2222,2025-06-16 09:05:44,471582.55,USD,transfer,Small,marketplace,Усть-Каменогорск,success
82,584,186,1161,2025-10-04 19:49:52,336114.31,KZT,deposit,Burger King,transport,Караганда,success
83,632,2070,370,2025-12-20 17:45:20,300538.02,USD,deposit,Green Bazaar,clothing,Усть-Каменогорск,declined
84,505,2523,1662,2025-04-28 15:09:32,214548.3,USD,transfer,Glovo,food_delivery,Усть-Каменогорск,success
85,1683,1284,1173,2025-08-24 22:52:21,225119.42,USD,cash_withdrawal,Green Bazaar,electronics,Тараз,success
86,1566,432,1539,2026-04-13 01:40:19,198328.96,KZT,deposit,Magnum,transport,Актобе,success
87,1499,651,313,2025-11-26 11:02:12,183622.64,USD,deposit,Green Bazaar,food_delivery,Караганда,declined
