device_id,customer_id,device_type,os_version,app_version,push_token,is_trusted,first_seen_at,last_seen_at
1,338,android,11.1,4.15.5,d21abb5b9d07a5ebcd4fbc0d4afb7fa7cbec4bc34b6d1bfca8da423d5de0712b,True,2025-05-19 00:05:47,2025-11-12 00:05:47
2,223,ios,11.2,5.12.2,b1db752eafd2a41b2b2fa1cb55fcca12fffd6269f4f62456bb8af6bddd80b04d,True,2025-04-11 18:28:53,2025-08-01 18:28:53
3,89,web,11.0,4.8.4,f0d6d62522f6d797efabef24a903f0da7abf2c91f0df14cd752ef04bbd4c75e8,True,2024-12-14 16:12:28,2025-05-25 16:12:28
4,177,android,16.2,7.6.8,560a4addadbdc61fba0e94baebea2106cdbacd006d0ceddfc8e97ba37412a3a4,True,2025-05-17 04:31:24,2025-10-09 04:31:24
5,571,android,14.3,5.4.3,b1f4785bf706bb5d0350e93daaeceea45a83afa42d0abdae93fa3b03118222a6,True,2025-01-07 19:13:34,2025-02-05 19:13:34
6,665,web,10.4,3.18.3,a9477fd26ef601c52fcf2a5f9e18f1ccddda59f5dcf6de9a6e3e31a86bccdc65,True,2025-11-28 01:23:49,2026-05-07 01:23:49
7,540,android,14.4,4.6.9,dcca6cd6afba83aa7ec60c30fde4c9d9bbfe85a4882aba07c7b9eeddb34dfbbe,True,2025-08-19 11:39:49,2026-02-17 11:39:49
8,840,android,10.2,4.10.5,8dda0b1cbbfae5efed6e7f96de30e1a9aff7aaafdd4bddbebe7ecdce6595ac1c,True,2024-09-01 17:06:10,2024-09-18 17:06:10
9,738,android,17.5,7.20.3,cfdaadc3fb25a45042a86fb34bf586f2baa2fda577cf8aefa1eeb6f9ccc4cadd,True,2024-10-28 17:51:28,2024-11-23 17:51:28
10,844,android,16.4,6.0.5,da4b86acfa4afa0b85fbfca6b5db79cfb9de822231ad53012a942bdc6be9d7c7,True,2025-12-01 09:48:44,2026-02-11 09:48:44
11,501,ios,17.3,7.3.8,7e14aedfccdeab4c8f2fae18b39c4c5c88eefa4eca96dcbf5e5acea9cf48f5b8,True,2025-11-09 13:01:45,2025-12-13 13:01:45
12,614,web,17.5,4.9.5,3bac5b7e3dad966d681027ac930bdb55cbc592cbc42d64ea1e6caffed911c296,True,2025-06-02 15:14:49,2025-08-14 15:14:49
13,867,android,17.4,6.8.3,f2455dadaa2adb8f0fdf20a19c0d4322cf9aa8adbdefccbe4bd4704dffcbd19c,True,2025-12-27 17:30:28,2026-01-13 17:30:28
14,159,web,16.4,6.6.1,3fab2c0babc9dfe564faddb6fab4acdf99dc271cbe59a6d6ff8c44b5dbb8544b,True,2025-08-07 09:18:45,2025-12-20 09:18:45
15,730,web,15.2,4.8.3,eebc91c7cf2d154cd9cbbdb8bde1bfc3246afede05ee7c13ceb6d3b63014bedd,True,2025-01-13 03:36:33,2025-04-19 03:36:33
16,714,web,18.5,7.18.0,cd4cfd4e702bfdd1b5770abb64c59ea7d9101e0862d853690f4aee7cc9a9cfcf,True,2024-11-05 10:41:52,2024-11-12 10:41:52
17,684,android,11.4,5.3.1,bbfb6ff4a3ab4afeb1bc270b1b157eca588deb390d8b1fdbe44c26eda6b1be2d,True,2024-06-29 04:10:32,2024-09-18 04:10:32
18,371,android,11.1,5.9.9,ae8ccf7cd6deabcc062c015efcce687ab73fa9e600bcdeabc68e36ed83adddfd,True,2024-11-26 01:54:45,2025-06-03 01:54:45
19,368,android,15.3,6.8.8,627d7ff7db69fbfb8ebaddaf4a9b1eacd27a44e78f88f4e24d476b296ef42a06,False,2024-07-21 04:12:39,2024-08-08 04:12:39
20,430,ios,14.2,3.6.6,aaee39f1ecb49bdbbded47e2ca0b4f8e5a7f77cca1b0dfcdbafdca2b9f9adbf2,True,2024-10-06 01:06:21,2024-11-27 01:06:21
21,789,android,18.0,3.13.0,eefe918eddb2feb6a0e26d475d32bbad1fb3fa2c6f189bd558c4ad1a4fa0ccfd,True,2025-09-12 21:59:41,2025-10-26 21:59:41
22,497,web,15.4,4.1.3,3ca9e0a6e6ad352b020c6a0dbc995da9922ac81889de73ff4260dcea1babfc7d,True,2025-01-22 08:00:08,2025-04-06 08:00:08
23,668,ios,18.5,7.16.1,aedb8bc6405fd4a6d7c2b172eb9a7bfe8ea4b3fc84dfccc2faedca30963096de,True,2025-11-01 03:26:52,2025-11-18 03:26:52
24,674,web,11.0,7.17.0,e8ccf6b2b449ffdf859bed0bde1a068c63cb222caa781bc3fa3c451ae9cb2a7b,True,2024-12-05 04:31:37,2025-02-17 04:31:37
25,422,android,13.2,7.16.8,fbe3168324fd93cfcfa69f4c8b29cd20d6dbb2f98edfc4bf3466fdebfc5cbe0d,True,2024-05-31 23:52:37,2024-10-15 23:52:37
26,357,android,10.0,7.5.1,2a9ff2647ee2195d7add5027e2fc473ed3ddd3a5e6fc4c8edbbfea8d613cac0a,True,2025-06-01 15:41:59,2025-10-31 15:41:59
27,687,ios,17.4,6.15.1,5a4a69cc6f3dd3a3527f4abfcd2dd13e9a38627ddc8b56204bd36f8af63b5669,True,2024-12-14 08:11:21,2025-04-20 08:11:21
28,261,ios,16.0,5.9.1,7dff6297beebad42cd1c44c4f63fac91c0039c971b0a9f56f08cae5162b8572b,True,2025-06-11 07:17:51,2025-10-05 07:17:51
29,162,ios,17.0,5.6.2,1fc8bb1c8d1ced8ff0aec03bb82dc555a3b2c39a379809cb19273c0dbdf0cb70,True,2024-11-15 06:20:44,2025-03-29 06:20:44
30,65,android,10.1,4.1.1,3dfa65f8d5a11b7d682ca15fffbb4bca35b6b56a4f6baa2a5b8109b127e3c56b,True,2025-01-20 08:06:36,2025-06-09 08:06:36
31,762,android,14.3,7.18.3,ea0bdea4e6adce2c2112cc6e5cbddafac1b61f9aad19be961bfacc3fb849bbac,True,2025-06-10 13:51:49,2025-12-14 13:51:49
32,955,android,15.4,6.2.5,a19afdef30a6278b71393a195aef5aeb3f0ffaf7d09fcbaaefc841cebcc2e3b4,True,2025-05-10 17:07:12,2025-05-16 17:07:12
33,338,web,10.1,7.7.1,445abd2fa6868048ced05ba0dca6dc4b1a2efc5ba3f345f4b8ed75f1d3fcaddf,True,2024-09-25 00:58:38,2024-10-10 00:58:38
34,955,android,17.4,6.15.6,5d5a3dfaa618ed02c1bdbc1adfd2c0dbeb7bf0ab2bda9c64df523fa7bfbaf1b5,True,2025-01-23 03:38:28,2025-07-08 03:38:28
35,127,android,16.2,3.15.9,0ba7d6b3e0d5b2ecd1df8fab0362de5d1aaabca9475187be01888cf6f3ba388f,True,2024-07-05 17:05:50,2024-07-13 17:05:50
36,352,android,10.4,6.18.9,542ab6b186c7b8413cded461e3e3a34c2d64ce98010f3b6d5a7919a1fca8de40,True,2025-05-15 14:29:55,2025-07-25 14:29:55
37,218,android,13.2,4.3.5,9d65d2ac4ec3405fec310dadfade4e245745bee9f4b2afa8faa0bedcafcfe22c,False,2025-10-22 08:41:42,2025-11-07 08:41:42
38,868,ios,18.2,5.1.0,b8de332ea9771cbc62c713d7fbeb92b93b5ba28bb7cc53eb0bfee7a6cd5fc9fb,True,2025-09-24 21:27:10,2026-01-09 21:27:10
39,612,android,11.2,3.7.8,9cf5ccedcb7c37aad5bb0eb91932a8fa8f0f9c5316b0bbda4aae5d9b3c60abfc,False,2024-12-10 16:20:47,2025-06-06 16:20:47
40,341,android,14.1,6.14.8,7dc58beadae1488dd2dcd2db2a1f2b5cce119b7dcaeef8d6da4cadeaca4f7c56,True,2024-09-11 12:28:58,2024-12-03 12:28:58
41,541,android,10.3,6.3.3,3bf79ee6fbfd403e1cadf49fa484adaaf2e6f3db7f1654bffcef62f42636c0cf,True,2025-09-21 22:20:40,2025-09-26 22:20:40
42,227,android,17.1,4.20.3,de41dcec1a353d36ca4fcfd9d0aacef645baca15037a2b7fa49eef9229e520bb,True,2025-01-19 05:25:54,2025-05-27 05:25:54
43,230,android,10.4,4.19.0,b4b17cadf3352c9f5ee64dc2fb459e8e60aea4c9befbb3c92ed2ccdc4cdbfba1,True,2024-07-24 03:19:55,2024-12-05 03:19:55
44,47,android,14.5,3.8.0,32bcc6ba1bad4547a41ecb871be01fcd87f4de3a46b368cea18e0b330dcef8a2,True,2024-12-05 07:20:57,2024-12-28 07:20:57
45,207,android,17.4,3.19.4,3bf492ed8e6af02ec256e72c5cd846a243b6080c60d6cde59b17d3a9ecbca5ee,True,2025-03-28 09:39:46,2025-09-26 09:39:46
46,299,web,11.2,4.19.0,b81224bfcce5beefee7cad7bd8dd17eaa77edbade42fff2eb2a1e1a8c1eb6617,True,2025-07-18 10:03:51,2025-12-04 10:03:51
47,259,android,15.2,6.14.4,5eaec5aebe42f732d7a1cccf6ddbc6e44b6236adef789ea4c47eeb159bbfa12f,True,2024-09-15 07:25:02,2024-12-26 07:25:02
48,583,android,13.0,4.7.4,0beb2bf5dddd207f66bbdf0a1c799e17455d2acb35c4c1e3e051af1daadc6d8d,True,2024-06-12 14:08:52,2024-12-10 14:08:52
