block_id,card_id,block_reason,blocked_at,unblocked_at,blocked_by
1,581,stolen,2025-04-30 14:24:45,,customer
2,985,customer_request,2025-05-28 08:54:16,,fraud_team
3,409,expired,2025-07-18 20:52:19,2025-08-10 20:52:19,fraud_team
4,344,suspicious,2025-10-04 15:04:26,2025-10-30 15:04:26,customer
5,654,stolen,2025-09-29 09:30:53,2025-10-27 09:30:53,customer
6,712,expired,2025-10-29 00:31:33,,fraud_team
7,488,stolen,2025-07-01 12:55:46,,customer
8,721,suspicious,2025-10-20 16:37:55,2025-11-08 16:37:55,customer
9,457,expired,2025-04-17 22:20:11,2025-05-03 22:20:11,customer
10,1046,expired,2025-07-23 21:17:41,2025-07-31 21:17:41,system
11,367,customer_request,2025-04-11 17:26:36,2025-04-20 17:26:36,customer
12,1199,customer_request,2025-04-14 10:44:34,2025-05-12 10:44:34,system
13,447,customer_request,2025-09-25 05:39:19,2025-10-19 05:39:19,system
14,305,lost,2025-10-19 16:55:41,,customer
15,949,stolen,2025-09-30 19:08:37,2025-10-28 19:08:37,customer
16,272,stolen,2025-04-29 07:52:21,,fraud_team
17,837,lost,2025-08-01 05:38:36,2025-08-25 05:38:36,customer
18,649,stolen,2025-04-27 07:43:16,,customer
19,877,stolen,2025-10-23 19:56:10,,fraud_team
20,824,customer_request,2025-12-16 11:02:35,,system
21,576,stolen,2025-07-07 15:08:51,,customer
22,1189,lost,2025-03-18 23:11:40,2025-03-26 23:11:40,customer
23,892,stolen,2025-07-23 08:01:20,2025-07-28 08:01:20,customer
24,939,stolen,2025-08-05 14:38:18,2025-08-22 14:38:18,customer
25,719,stolen,2025-11-11 02:51:49,,customer
26,121,expired,2025-05-13 02:25:55,,fraud_team
27,160,customer_request,2025-04-05 20:35:22,2025-04-21 20:35:22,system
28,276,suspicious,2025-06-22 03:31:42,,customer
29,735,customer_request,2025-05-05 15:03:26,2025-05-22 15:03:26,customer
30,397,expired,2025-11-18 10:14:42,2025-12-09 10:14:42,system
31,466,lost,2025-07-09 16:33:53,2025-08-06 16:33:53,fraud_team
32,1090,suspicious,2025-05-18 14:24:32,,system
33,712,lost,2025-06-09 02:20:59,2025-07-07 02:20:59,customer
34,675,lost,2025-09-15 16:52:33,,customer
35,1170,expired,2025-06-16 12:27:24,,customer
36,803,lost,2025-06-27 02:54:24,,customer
