history_id,customer_id,segment,valid_from,valid_to,reason
1,1,mass,2025-12-05,,onboarding
2,2,mass,2023-09-24,,onboarding
3,3,premium,2024-05-18,,onboarding
4,4,premium,2025-07-16,,onboarding
5,5,premium,2025-08-06,,onboarding
6,5,premium,2025-08-06,2026-11-01,onboarding
7,6,wealth,2024-04-29,,onboarding
8,6,mass,2024-04-29,2025-06-03,income_growth
9,7,mass,2023-07-23,,onboarding
10,7,premium,2023-07-23,2025-09-26,income_growth
11,8,mass,2025-10-04,,onboarding
12,9,mass,2024-10-08,,onboarding
13,10,mass,2025-04-26,,onboarding
14,11,mass,2024-10-24,,onboarding
15,11,premium,2024-10-24,2026-07-17,churn_risk
16,12,mass,2024-12-07,,onboarding
17,12,premium,2024-12-07,2026-08-06,income_growth
18,13,premium,2024-08-03,,onboarding
19,13,premium,2024-08-03,2025-01-13,income_growth
20,14,mass,2024-02-14,,onboarding
21,15,mass,2025-07-22,,onboarding
22,16,premium,2023-12-27,,onboarding
23,16,premium,2023-12-27,2024-02-28,annual_review
24,17,mass,2025-09-07,,onboarding
25,18,mass,2023-04-08,,onboarding
26,19,mass,2023-07-21,,onboarding
27,20,premium,2023-05-14,,onboarding
28,21,premium,2024-12-23,,onboarding
29,22,mass,2024-06-17,,onboarding
30,23,wealth,2024-02-11,,onboarding
31,24,wealth,2025-05-20,,onboarding
32,25,mass,2023-11-30,,onboarding
33,25,mass,2023-11-30,2025-10-26,churn_risk
34,26,premium,2025-10-26,,onboarding
35,27,mass,2024-08-18,,onboarding
36,28,wealth,2025-04-08,,onboarding
37,29,premium,2023-08-24,,onboarding
38,30,premium,2024-11-19,,onboarding
39,31,mass,2023-09-10,,onboarding
40,32,mass,2023-07-12,,onboarding
41,32,premium,2023-07-12,2023-12-01,income_growth
42,33,mass,2024-08-17,,onboarding
43,34,mass,2025-02-20,,onboarding
44,35,wealth,2025-12-16,,onboarding
45,36,mass,2024-11-15,,onboarding
46,36,mass,2024-11-15,2026-06-20,vip_offer
47,37,mass,2024-05-27,,onboarding
48,38,mass,2025-10-19,,onboarding
49,39,premium,2024-01-25,,onboarding
50,40,wealth,2024-09-05,,onboarding
51,40,mass,2024-09-05,2025-09-20,vip_offer
52,41,mass,2024-09-21,,onboarding
53,42,premium,2024-10-08,,onboarding
54,43,premium,2024-10-31,,onboarding
55,44,mass,2023-07-28,,onboarding
56,45,premium,2024-08-10,,onboarding
57,46,wealth,2023-08-11,,onboarding
58,47,mass,2024-10-02,,onboarding
59,47,mass,2024-10-02,2025-05-04,onboarding
60,48,mass,2024-09-14,,onboarding
61,49,premium,2024-12-05,,onboarding
62,50,mass,2024-04-04,,onboarding
63,51,mass,2024-07-05,,onboarding
64,52,premium,2025-04-04,,onboarding
65,53,premium,2024-03-06,,onboarding
66,53,premium,2024-03-06,2025-12-14,income_growth
67,54,premium,2023-05-14,,onboarding
68,54,premium,2023-05-14,2025-05-18,vip_offer
69,55,mass,2025-11-09,,onboarding
70,56,mass,2025-08-18,,onboarding
71,57,premium,2024-09-17,,onboarding
72,57,mass,2024-09-17,2025-02-27,annual_review
73,58,mass,2024-07-31,,onboarding
74,59,wealth,2023-04-29,,onboarding
75,59,mass,2023-04-29,2024-12-22,income_growth
76,60,premium,2024-04-25,,onboarding
77,61,mass,2024-04-16,,onboarding
78,61,premium,2024-04-16,2025-02-09,vip_offer
79,62,mass,2025-07-22,,onboarding
80,62,premium,2025-07-22,2027-02-14,annual_review
81,63,mass,2025-03-15,,onboarding
82,64,mass,2024-08-05,,onboarding
83,65,premium,2025-10-01,,onboarding
84,66,wealth,2025-09-16,,onboarding
85,66,premium,2025-09-16,2027-05-18,onboarding
86,67,mass,2024-10-06,,onboarding
87,68,premium,2024-09-26,,onboarding
88,69,mass,2024-12-14,,onboarding
89,70,premium,2023-06-06,,onboarding
90,70,mass,2023-06-06,2023-11-16,onboarding
91,71,wealth,2025-12-12,,onboarding
92,71,mass,2025-12-12,2027-02-24,vip_offer
93,72,wealth,2025-07-26,,onboarding
94,72,premium,2025-07-26,2025-12-17,income_growth
95,73,mass,2024-02-05,,onboarding
96,73,mass,2024-02-05,2024-08-04,churn_risk
97,74,mass,2025-03-26,,onboarding
98,74,premium,2025-03-26,2025-05-29,income_growth
99,75,mass,2023-10-12,,onboarding
100,76,mass,2025-02-25,,onboarding
101,76,premium,2025-02-25,2025-06-19,onboarding
102,77,wealth,2024-07-12,,onboarding
103,77,mass,2024-07-12,2026-08-26,income_growth
104,78,mass,2025-08-16,,onboarding
105,78,premium,2025-08-16,2027-05-01,annual_review
106,79,mass,2023-09-18,,onboarding
107,80,mass,2023-05-29,,onboarding
108,81,wealth,2024-04-10,,onboarding
109,81,mass,2024-04-10,2025-03-18,onboarding
110,82,premium,2024-12-03,,onboarding
111,83,premium,2024-01-10,,onboarding
112,83,premium,2024-01-10,2024-07-07,income_growth
113,84,premium,2023-08-12,,onboarding
114,84,premium,2023-08-12,2024-01-20,annual_review
115,85,mass,2024-11-18,,onboarding
116,86,premium,2024-07-18,,onboarding
117,87,premium,2025-07-08,,onboarding
118,88,wealth,2024-08-23,,onboarding
119,88,mass,2024-08-23,2026-07-29,churn_risk
120,89,premium,2025-02-07,,onboarding
121,90,wealth,2024-08-08,,onboarding
122,90,premium,2024-08-08,2026-09-07,annual_review
123,91,mass,2024-11-15,,onboarding
124,92,mass,2024-04-23,,onboarding
125,93,mass,2024-01-05,,onboarding
126,94,wealth,2025-07-09,,onboarding
127,94,premium,2025-07-09,2027-06-20,churn_risk
128,95,mass,2024-01-08,,onboarding
129,96,wealth,2024-06-07,,onboarding
130,97,premium,2025-03-11,,onboarding
131,98,wealth,2024-11-02,,onboarding
132,98,mass,2024-11-02,2025-03-20,income_growth
133,99,mass,2024-07-01,,onboarding
134,100,premium,2023-05-25,,onboarding
135,101,premium,2025-07-04,,onboarding
136,102,mass,2025-04-07,,onboarding
137,102,mass,2025-04-07,2025-06-29,churn_risk
138,103,mass,2023-11-26,,onboarding
139,104,premium,2024-05-23,,onboarding
140,105,mass,2023-09-16,,onboarding
141,106,premium,2024-12-11,,onboarding
142,107,premium,2024-09-15,,onboarding
143,108,mass,2025-05-05,,onboarding
144,108,mass,2025-05-05,2026-10-26,annual_review
145,109,mass,2025-10-29,,onboarding
146,110,mass,2023-08-05,,onboarding
147,111,premium,2023-07-20,,onboarding
148,112,mass,2024-11-19,,onboarding
149,113,mass,2023-12-02,,onboarding
150,113,mass,2023-12-02,2025-08-18,annual_review
151,114,premium,2025-07-10,,onboarding
152,114,premium,2025-07-10,2026-02-13,income_growth
153,115,mass,2024-07-31,,onboarding
154,116,mass,2025-04-28,,onboarding
155,117,mass,2024-06-13,,onboarding
156,118,mass,2023-06-24,,onboarding
157,119,mass,2023-10-13,,onboarding
158,120,mass,2024-10-14,,onboarding
159,120,premium,2024-10-14,2025-04-15,annual_review
160,121,premium,2025-09-17,,onboarding
161,121,premium,2025-09-17,2026-07-06,onboarding
162,122,mass,2025-07-10,,onboarding
163,123,premium,2023-09-29,,onboarding
164,124,mass,2025-03-18,,onboarding
165,125,premium,2025-04-16,,onboarding
166,126,mass,2024-02-26,,onboarding
167,126,premium,2024-02-26,2025-11-07,onboarding
168,127,mass,2024-09-12,,onboarding
169,128,premium,2025-02-07,,onboarding
170,129,mass,2024-11-20,,onboarding
171,130,mass,2024-07-08,,onboarding
172,131,mass,2024-07-25,,onboarding
173,132,premium,2023-09-18,,onboarding
174,133,mass,2024-06-16,,onboarding
175,133,premium,2024-06-16,2026-07-01,vip_offer
176,134,premium,2024-10-07,,onboarding
177,134,mass,2024-10-07,2025-07-12,churn_risk
178,135,wealth,2025-03-09,,onboarding
179,136,premium,2025-08-07,,onboarding
180,136,mass,2025-08-07,2026-11-10,annual_review
181,137,premium,2023-08-13,,onboarding
182,137,premium,2023-08-13,2025-06-19,churn_risk
183,138,mass,2023-05-24,,onboarding
184,139,mass,2023-12-18,,onboarding
185,140,mass,2023-12-13,,onboarding
186,140,premium,2023-12-13,2024-03-02,churn_risk
187,141,mass,2023-08-03,,onboarding
188,142,mass,2023-11-26,,onboarding
189,143,premium,2023-11-10,,onboarding
190,144,mass,2025-02-16,,onboarding
191,145,wealth,2025-02-17,,onboarding
192,146,mass,2025-03-27,,onboarding
193,146,premium,2025-03-27,2027-05-09,income_growth
194,147,mass,2025-11-13,,onboarding
195,147,mass,2025-11-13,2026-05-10,churn_risk
196,148,mass,2025-06-30,,onboarding
197,149,mass,2023-10-31,,onboarding
198,150,mass,2024-08-14,,onboarding
199,151,mass,2025-05-02,,onboarding
200,151,mass,2025-05-02,2026-02-08,income_growth
201,152,mass,2023-04-18,,onboarding
202,153,premium,2023-09-13,,onboarding
203,154,mass,2025-12-08,,onboarding
204,155,wealth,2025-03-24,,onboarding
205,156,mass,2024-08-26,,onboarding
206,157,mass,2025-04-02,,onboarding
207,158,wealth,2023-05-05,,onboarding
208,158,mass,2023-05-05,2025-06-22,onboarding
209,159,wealth,2023-06-04,,onboarding
210,160,mass,2025-07-05,,onboarding
211,161,premium,2024-03-16,,onboarding
212,162,mass,2023-10-17,,onboarding
213,162,premium,2023-10-17,2025-05-14,onboarding
214,163,mass,2025-12-10,,onboarding
215,163,mass,2025-12-10,2026-12-13,onboarding
216,164,mass,2025-01-25,,onboarding
217,165,mass,2025-06-02,,onboarding
218,166,mass,2023-08-26,,onboarding
219,167,mass,2024-11-21,,onboarding
220,168,premium,2025-02-06,,onboarding
221,169,mass,2023-05-28,,onboarding
222,169,mass,2023-05-28,2023-11-07,vip_offer
223,170,premium,2025-11-10,,onboarding
224,171,mass,2025-06-21,,onboarding
225,172,mass,2025-11-27,,onboarding
226,173,premium,2025-03-14,,onboarding
227,174,premium,2024-04-17,,onboarding
228,175,premium,2025-02-28,,onboarding
229,176,mass,2023-12-23,,onboarding
230,177,premium,2025-03-05,,onboarding
231,178,mass,2024-09-05,,onboarding
232,179,mass,2023-10-25,,onboarding
233,179,premium,2023-10-25,2024-08-18,vip_offer
234,180,mass,2025-12-26,,onboarding
235,181,mass,2025-02-28,,onboarding
236,181,premium,2025-02-28,2025-05-16,onboarding
237,182,mass,2025-08-26,,onboarding
238,183,premium,2025-06-03,,onboarding
239,183,premium,2025-06-03,2026-10-06,vip_offer
240,184,wealth,2023-09-01,,onboarding
241,185,wealth,2023-06-18,,onboarding
242,185,premium,2023-06-18,2023-12-20,vip_offer
243,186,mass,2025-01-28,,onboarding
244,187,mass,2023-05-10,,onboarding
245,188,mass,2025-04-07,,onboarding
