device_id,customer_id,device_type,os_version,app_version,push_token,is_trusted,first_seen_at,last_seen_at
1,227,android,12.4,7.3.6,918eb2a46f43ae37ae6795b81f39cccdcf2525621ed9d04c8a5efb165e404dfe,False,2024-11-05 08:22:25,2025-05-07 08:22:25
2,801,web,14.1,7.2.8,b7a89aee9ffbac2a6beaafc6c3a25eea9ce088d4d24f11c5caec5aacfba5b901,True,2024-09-16 20:32:12,2024-09-24 20:32:12
3,385,android,17.0,4.4.8,1f2c29ceab3cdbc7a77bb6be9df4d55d435affb02dc4aeeedaae4d2ea44c8425,True,2024-11-20 16:55:09,2025-05-30 16:55:09
4,765,android,15.0,3.8.5,4eaadf13cd195eb78adab84d0e8dda7c0edddfc40b1138f12e3d3cfffbbee7ae,True,2025-04-09 00:04:38,2025-10-09 00:04:38
5,255,android,10.5,3.3.7,9f30ddaadadedabb73dc90bc998cca25fd3767cdcd39a2f50bccfa95ead72a8c,True,2025-11-11 07:39:28,2026-03-17 07:39:28
6,391,android,13.3,7.13.5,5d49dbafd1ca041f0ffab7e0abd3cc9e5bfb5dfbebc06aeb8acdd8fda5eedfda,True,2025-10-17 17:33:55,2026-05-01 17:33:55
7,171,android,11.0,5.13.2,dcac0ead6b78f18d1c2824f0fb4dbbbafcc3719cccebed0e2f8dd6d3bd1459dd,True,2025-04-28 19:07:41,2025-08-20 19:07:41
8,540,android,13.2,6.5.3,320a02daa7f1fe1baad4d1fab8e2af3fb42cfba613a91d17a44d87d8f8ae44b7,True,2024-09-18 13:24:52,2025-01-15 13:24:52
9,145,web,11.2,7.19.1,0c7adbbe7e84ea5ecd18abbddb2d7ebe8826db42b81ba70d11646c943bb23a8a,False,2025-03-20 23:55:27,2025-03-22 23:55:27
10,53,web,16.4,6.5.8,bdd9b2af20f51badbc4ac8abdd6f3d0c4de1b43b1caee00cb81ce5b79ffced8c,True,2025-12-29 05:25:32,2026-02-18 05:25:32
11,832,ios,16.0,5.17.6,c2d9ff3324f284c707cff3b3b9408cdc4b971f3fdefaa9e63daab28bb8e0b26a,True,2024-08-03 03:33:39,2025-01-25 03:33:39
12,750,web,12.1,6.1.2,dec2dd2a83efc247fca4f6fe9eeff8ff7b1c55ce2efcebd6ebcd7ec083a130de,True,2025-09-18 22:54:02,2026-03-17 22:54:02
13,130,web,10.0,6.3.6,d8623a79bdfae1a04babe2c3eadfce114c103fe2b9fff7ea3ce6759dc0faf293,True,2025-09-30 22:38:33,2026-02-10 22:38:33
14,378,android,10.3,3.6.4,cedf249573d728adc9f96d4b18136fb5d1cefce1798e9376c573cb4dc7cdd9b9,True,2025-07-15 09:38:45,2025-08-19 09:38:45
15,538,web,14.1,4.8.7,bb1144488ce6e9ca260e76da02ddf41ec2becaedff687edfd16871bd5cdad364,True,2024-11-17 06:46:17,2025-05-03 06:46:17
16,38,web,15.2,4.11.1,f2cc761d8ebed5fa3d03d8951e5ce23bd1cacd0fb1cbdb19ff400269bfe531f6,True,2025-08-21 01:36:09,2026-03-09 01:36:09
17,11,android,17.0,4.3.8,46aab29294f27b0a6fdc4aea1d2c0f70dba38386c06374b8b9dea7cab8ea61fe,True,2024-12-05 04:08:18,2025-02-09 04:08:18
18,709,android,10.1,3.1.1,1a35061dbd80a158a6afdfd8ba6b9e73a67cabbbe5ce1220fa3c5efceafd8fce,True,2024-09-13 20:27:26,2024-10-24 20:27:26
19,466,ios,13.4,6.16.0,293be5da5339be8f0ffcccf41dbceeaaedffef1abe1802acda8d6a3f06f920b9,True,2025-08-12 21:38:38,2025-09-07 21:38:38
20,200,android,13.2,6.2.1,bf02f6a1a2cb4bbeecf9cd2a5ddecbacae0d40efe53a21c6589a5f7dbec512ee,True,2024-06-15 09:10:45,2024-09-10 09:10:45
21,444,android,16.4,5.12.1,53ebed164cf4f0dfbb4827645c2dc268ffcfe01a3b2bf6beaeb5e4e0347dd6e6,True,2024-05-27 11:35:54,2024-09-23 11:35:54
22,916,android,16.0,6.8.1,9d11bfc6dace84cbfbae1ecc815b0ecd4dbae5552ede8775977ffdbce44dead8,True,2024-07-03 10:07:06,2024-09-19 10:07:06
23,119,android,10.0,7.3.6,6a44abe4f10dcebccf3eedddebdb0ec52f12cffafda05eebb1c7dc5057770cc5,True,2025-02-03 13:18:27,2025-04-22 13:18:27
24,105,android,10.4,6.1.0,6c2ed9dac5dfa82c3b68b9ce2b1fa6e2add3195f8a10d7d3deb55b93a2944d84,False,2025-09-17 22:44:32,2026-03-22 22:44:32
25,946,ios,12.2,7.13.9,8eed46a34fe1bb6ac743bf6c4d5b7059d81d2f4e30bde8d0fcad3bcc1c8fbca4,True,2024-12-16 02:50:34,2025-05-31 02:50:34
26,229,ios,12.3,7.6.3,bdb60abcdfc81fa6ccdd6dd6d90ecfdfd9d223cec7d0f9cf9ded3aa23afa5b28,True,2025-06-26 03:38:53,2025-11-01 03:38:53
27,713,android,14.4,5.12.1,489c4db82cfbb1f2cec0f280735c0cc2a0e3888ac34a8ff8b8effc361fb99eed,True,2024-08-22 19:16:11,2025-01-23 19:16:11
28,27,android,11.3,7.1.4,00f33a9bf5d6d50ca42cf26f54c7c6691bdf66a4ae7ccd105ebbd52d69fa2b2d,True,2024-05-31 14:04:22,2024-11-07 14:04:22
29,271,ios,12.3,5.3.5,0a7aac7d9b1f14743fc38e8d7d35e9b423ea3f0ee1449aa3b584c0046a36657f,True,2025-05-22 19:54:26,2025-09-02 19:54:26
30,825,ios,16.0,4.16.0,b048e71d4a5de0df4e2b0dcdf1cdafa90e229fbd01bfcdcf0ccfc0e7bfdbbead,True,2024-11-30 17:13:51,2025-01-16 17:13:51
31,427,ios,16.4,4.17.0,fc8250315fc9a5649ca503d050fa8d0daf4cc8afca5c13f2df2cbff7336b8def,True,2025-10-17 17:49:51,2026-04-17 17:49:51
32,100,ios,10.0,7.0.3,6af376c4bc2c8114cedd82a05ddf35bab1dd4bdb95b0323b1f849457f4b6a5e3,True,2025-02-11 11:38:53,2025-03-28 11:38:53
33,641,web,16.3,3.12.4,97477a4209e484cecdced7de07ce0f4a8eac02bebdc4dbf8a30bedd8dc1b3d5b,True,2025-01-06 02:10:51,2025-07-17 02:10:51
34,437,ios,14.5,5.17.9,5535db49cbbb9a8a2d07cbc65675dfcf9fbb3b4ca3bbc83b801c9bb16ebb41dc,True,2025-04-07 11:34:35,2025-07-21 11:34:35
35,296,ios,17.3,5.17.2,5fadbdb5db5b1feb5fc5ee67c3c7afeed9feb4f8cecfb1ef9c0bb5fd6a6f8ce7,True,2025-04-01 16:51:22,2025-09-04 16:51:22
36,374,ios,15.1,3.11.1,f5abc7fe830bbebec7a44a7f6dc798c1daaa7a6d8f0601907a381a494086ca9f,False,2025-07-07 02:46:12,2025-07-28 02:46:12
37,41,ios,11.5,4.15.7,92bb3feefceec97fb2bbef075cfbf99c10d46db8612adccb41ae72bcd3b3b92b,True,2025-11-16 01:38:53,2026-01-09 01:38:53
38,211,ios,14.3,3.0.7,c7ba2ff7e1d7a43d34e9eec9aacbe1efbceccfe35cd1f38a45ec9160ec1eae41,True,2025-07-15 05:43:18,2025-11-17 05:43:18
39,263,android,17.0,3.16.7,bc46fbcd245ef7b0ddd59a80c1c0e3bcd0edb3cdefb22d6fd1bfb91b2da91fbc,True,2025-08-31 16:36:16,2026-02-24 16:36:16
40,706,android,11.4,4.19.8,d1cf7a247ee9a50dd4dd31fa4240d6190dfd866bc9450b792fdbe34cf2e07fdf,True,2025-06-18 02:55:00,2025-12-10 02:55:00
41,111,android,16.0,4.7.3,f9cfafeb2e7fb4241afcdc5ccf29cc0fdaf3337ccab3ccbed4f43a02c7dde4ae,True,2025-07-25 16:32:54,2026-01-29 16:32:54
42,716,android,17.5,4.0.8,08cfa2af92a1744d4fa6f41a1ceac6e2d5cb3dfbacaf462ecae837588c85abcb,True,2024-06-08 20:05:33,2024-08-15 20:05:33
43,327,ios,13.1,6.14.3,462b9ceb86df3bafa4041d259f58cbce2ef2a4cb5711bc39a8534f0bea05df52,True,2025-10-21 06:42:27,2025-12-30 06:42:27
44,610,android,16.3,7.7.2,e4a859eff7ed2e5fefb3718c0c27aeffb825a34decc1ff3e4c65919c0fbfb5dd,True,2025-12-16 10:09:58,2026-04-22 10:09:58
45,632,web,18.0,7.11.6,cdedbd50ce78dc0fa75eaafcc63fdac5bcc41fbf0d7fe29d787b4ee184afd238,True,2025-08-05 15:51:19,2026-01-29 15:51:19
46,459,android,17.5,3.5.4,ab0c7f6d011eec65efccefc3cb0d9bfd15c524a04f33e4b0de0bd2eabfefecca,True,2025-06-03 13:47:30,2025-09-09 13:47:30
47,306,android,14.3,4.2.4,e3adbdc7eaccd870ff89ddabbbccfdda3bff81b1ef43cdff1a14afe6c2ddc12b,True,2025-07-30 09:29:51,2025-08-22 09:29:51
48,736,android,12.2,5.16.8,e3cfeaa5e4ace32bdebae9f6e629d31826d86ca5d92b49ad658293155c959cc0,True,2025-06-16 04:30:11,2025-06-16 04:30:11
49,779,web,18.3,3.7.3,a0cb5d0b81e593ee6de099531e9ea3b6ba94cbeb26a97ecddbebab6c98cd85e6,True,2025-02-28 19:31:44,2025-06-04 19:31:44
50,708,ios,11.2,7.17.2,d03d9ff77bbe89c45374e6a0b7daa1bfc16e4a0e1fabc223a82d400fad0f9e82,True,2024-06-11 20:03:11,2024-10-15 20:03:11
51,851,android,17.1,7.10.3,dcb58e60bac16ea37f58fef419c4fdedcb93e056a0ea8b3eeb6b6d419e2fdeae,True,2024-10-18 20:35:19,2025-04-23 20:35:19
52,764,android,11.0,5.0.8,bf58641cf5b7b2ed911cdc3c9f17f3cbeaae8f9a6f17fbe498ecbed54af6cb09,True,2025-05-09 13:28:47,2025-11-01 13:28:47
53,573,android,13.0,4.15.4,feb2cebbdd0fda6cb3f2e4152e10fa4ecafb6aefdec875daf3f03471dccaf5ca,True,2025-03-12 01:37:07,2025-06-24 01:37:07
54,448,android,11.4,4.6.2,aceeffaac1ce51caa872c0e66e23c6f5131faab10d0da16e918cae7a1dabb6fc,True,2025-01-15 11:14:54,2025-04-16 11:14:54
