trx_id,account_id,trx_datetime,trx_type,amount,currency,description,counterparty,posting_date,branch_id,updated_at
1,573,2025-09-02 15:38:49,credit,180320.03,KZT,Устройство поставить покинуть сходить мелькнуть.,ЗАО «Кондратьева-Новикова»,2025-09-02,6,2025-09-02 15:38:49
2,940,2025-09-25 07:44:55,transfer,394699.67,KZT,Рай забирать что лететь.,АО «Кондратьева»,2025-09-25,6,2025-09-25 07:44:55
3,147,2025-07-13 11:29:44,debit,26683.23,KZT,Смелый князь пятеро ярко рабочий.,"ОАО «Волкова, Авдеева и Белов»",2025-07-13,10,2025-07-13 11:29:44
4,1139,2025-08-29 02:11:39,debit,38458.22,KZT,Аллея задержать.,РАО «Молчанова-Королев»,2025-08-29,8,2025-08-29 02:11:39
5,1489,2025-11-12 03:35:42,credit,450418.81,KZT,Пол кидать угодный.,"ОАО «Емельянова, Козлов и Федоров»",2025-11-12,7,2025-11-12 03:35:42
6,861,2025-09-08 14:23:11,credit,146788.19,KZT,Решение выразить.,РАО «Мясников»,2025-09-08,6,2025-09-08 14:23:11
7,385,2025-12-30 21:07:10,credit,74646.66,KZT,Инвалид остановить дружно.,"ОАО «Зуева, Суворов и Боброва»",2025-12-30,6,2025-12-30 21:07:10
8,1043,2025-08-27 20:02:15,transfer,418643.39,KZT,Передо около мусор.,Суворов Лтд,2025-08-27,6,2025-08-27 20:02:15
9,413,2025-07-16 21:51:39,debit,483290.77,KZT,Сохранять армейский.,РАО «Захарова Михайлова»,2025-07-16,7,2025-07-16 21:51:39
10,13,2025-12-25 02:49:57,transfer,495327.87,KZT,Печатать бегать тута поезд.,АО «Фокина»,2025-12-25,5,2025-12-25 02:49:57
11,319,2025-12-21 01:20:10,credit,414112.98,KZT,Расстегнуть приличный.,Запсибгазпром,2025-12-21,6,2025-12-21 01:20:10
12,1193,2025-09-22 03:24:41,debit,37509.62,KZT,Торопливый запеть успокоиться.,РАО «Захаров»,2025-09-22,2,2025-09-22 03:24:41
13,136,2025-11-20 22:50:06,debit,470547.48,KZT,Разводить песенка пища миг да.,Сафонов Инкорпорэйтед,2025-11-20,7,2025-11-20 22:50:06
14,484,2025-12-17 04:48:34,credit,396808.79,KZT,Около неправда человечек висеть постоянный.,Богданов Лимитед,2025-12-17,7,2025-12-17 04:48:34
15,1161,2025-10-10 02:48:33,credit,169073.73,KZT,Умолять кольцо отражение.,Уральский банк реконструкции и развития,2025-10-10,2,2025-10-10 02:48:33
16,866,2025-09-21 00:15:53,debit,168538.44,KZT,Хозяйка реклама через еврейский.,"ОАО «Суханов, Крюкова и Архипова»",2025-09-21,2,2025-09-21 00:15:53
17,936,2025-08-31 20:55:37,transfer,143018.47,KZT,Порядок карман призыв решение намерение.,РАО «Филиппова-Родионов»,2025-08-31,8,2025-08-31 20:55:37
18,1189,2025-09-14 18:14:39,credit,375607.61,KZT,Засунуть дорогой домашний рай естественный.,НИПИ НГ Петон,2025-09-14,2,2025-09-14 18:14:39
19,1085,2025-09-25 07:07:16,credit,391405.73,KZT,Спичка расстройство.,"АО «Марков, Маслова и Белякова»",2025-09-25,1,2025-09-25 07:07:16
20,326,2025-12-26 05:32:16,debit,318276.34,KZT,Редактор процесс способ направо предоставить.,НПО «Лобанова Фадеев»,2025-12-26,2,2025-12-26 05:32:16
21,864,2025-11-24 06:28:57,credit,223211.19,KZT,Выдержать заведение что.,ИП «Баранова-Яковлев»,2025-11-24,4,2025-11-24 06:28:57
22,1126,2025-08-20 13:53:59,transfer,164970.71,KZT,Неправда гулять неправда близко задрать.,Никонов Инк,2025-08-20,1,2025-08-20 13:53:59
23,308,2025-08-18 20:36:54,debit,394365.71,KZT,Отметить висеть провал функция.,Дорофеев Лимитед,2025-08-18,6,2025-08-18 20:36:54
24,497,2025-10-26 02:54:42,transfer,140927.02,KZT,Механический вперед мучительно бочок боец.,Силина Групп,2025-10-26,6,2025-10-26 02:54:42
25,780,2025-08-02 17:00:25,credit,259335.71,KZT,Сустав картинка секунда постоянный.,АО «Щербакова Игнатова»,2025-08-02,8,2025-08-02 17:00:25
26,940,2025-09-29 12:15:52,debit,206995.45,KZT,Наслаждение вытаскивать.,"НПО «Михайлова, Силин и Поляков»",2025-09-29,2,2025-09-29 12:15:52
27,544,2025-12-29 06:20:27,credit,465558.72,KZT,Роскошный бок избегать висеть руководитель.,"ИП «Федосеев, Назарова и Шарова»",2025-12-29,5,2025-12-29 06:20:27
28,210,2025-08-30 19:54:34,transfer,332590.76,KZT,Соответствие райком ягода пространство.,"ИП «Гаврилова, Артемьев и Пономарев»",2025-08-30,2,2025-08-30 19:54:34
